url,headline
/article/society/environment/26.06.2026-seagulls-happily-join-dinner-tables-in-liepaja.a652892/,Seagulls happily join dinner tables in Liepāja
/article/society/society/26.06.2026-new-head-of-mucenieki-asylum-seeker-centre-appointed.a652846/,New head of Mucenieki asylum seeker centre appointed
/article/economy/transport/26.06.2026-big-air-show-at-spilve-airfield-this-weekend.a652842/,Big air show at Spilve Airfield this weekend
/article/weather/weather/26.06.2026-orange-heat-alert-sunday-monday-in-latvia.a652839/,"Orange heat alert Sunday, Monday in Latvia"
/article/society/crime/26.06.2026-watch-heist-gang-handed-prison-sentence-in-latvia.a652797/,Watch heist gang handed prison sentence in Latvia
/article/economy/business/26.06.2026-diy-store-opens-in-ogre-latvia.a652742/,"DIY store opens in Ogre, Latvia"
/article/society/health/26.06.2026-young-woman-hospitalised-after-taking-weight-loss-meds-bought-online.a652794/,Young woman hospitalised after taking weight loss meds bought online
/article/society/society/26.06.2026-another-child-drowned-in-latvia-thursday.a652793/,Another child drowned in Latvia Thursday
/article/politics/president/19.06.2026-former-president-levits-receives-germanys-highest-honour.a652211/,Former President Levits receives Germany's highest honour
/article/politics/saeima/19.06.2026-russian-belarusian-investors-opportunities-to-live-in-latvia-restricted.a652156/,"Russian, Belarusian investors' opportunities to live in Latvia restricted"
/article/politics/saeima/18.06.2026-final-latvian-parliamentary-sitting-before-summer-recess-on-thursday.a651530/,Final Latvian parliamentary sitting before summer recess on Thursday
/article/politics/election/17.06.2026-election-planners-consider-possible-air-threats-in-latvia.a651783/,Election planners consider possible air threats in Latvia
/article/politics/politics/15.06.2026-kulbergs-puts-temporary-stop-to-ict-procurements-in-latvia.a651515/,Kulbergs puts temporary stop to ICT procurements in Latvia
/article/politics/saeima/14.06.2026-saeima-deputies-expenses-have-cost-more-than-a-million-euros.a651395/,Saeima deputies' expenses have cost more than a million euros
/article/politics/election/12.06.2026-latvias-election-digital-platform-developing-smoothly-says-agency.a651265/,"Election digital platform developing smoothly, says agency"
/article/politics/saeima/12.06.2026-latvian-saeima-nays-banning-cage-raised-chickens.a651191/,Latvian Saeima nays banning cage-raised chickens
/article/society/environment/26.06.2026-seagulls-happily-join-dinner-tables-in-liepaja.a652892/,Seagulls happily join dinner tables in Liepāja
/article/society/society/26.06.2026-new-head-of-mucenieki-asylum-seeker-centre-appointed.a652846/,New head of Mucenieki asylum seeker centre appointed
/article/society/crime/26.06.2026-watch-heist-gang-handed-prison-sentence-in-latvia.a652797/,Watch heist gang handed prison sentence in Latvia
