url,headline,time
/article/features/news-in-simple-latvian/23.06.2026-news-in-simple-latvian-22nd-june-2026.a652475/,"News in simple Latvian: 22nd June, 2026","June 23, 9:06"
/article/features/news-in-simple-latvian/21.06.2026-news-in-simple-latvian-20th-june-2026.a652362/,"News in simple Latvian: 20th June, 2026","June 21, 7:22"
/article/features/news-in-simple-latvian/20.06.2026-news-in-simple-latvian-19th-june-2026.a652320/,"News in simple Latvian: 19th June, 2026","June 20, 9:31"
/article/features/news-in-simple-latvian/19.06.2026-news-in-simple-latvian-18th-june-2026.a652154/,"News in simple Latvian: 18th June, 2026","June 19, 7:14"
/article/features/news-in-simple-latvian/18.06.2026-news-in-simple-latvian-17th-june-2026.a651971/,"News in simple Latvian: 17th June, 2026","June 18, 7:18"
/article/weather/weather/26.06.2026-orange-heat-alert-sunday-monday-in-latvia.a652839/,"Orange heat alert Sunday, Monday in Latvia",14:54
/article/weather/weather/25.06.2026-heatwave-will-wash-over-latvia-this-weekend.a652655/,Heatwave will wash over Latvia this weekend,"Yesterday, 14:04"
/article/weather/weather/25.06.2026-short-working-week-in-latvia-will-be-cloudy-but-warm.a652579/,Short working week in Latvia will be cloudy but warm,"Yesterday, 8:06"
/article/weather/weather/24.06.2026-warm-but-somewhat-wet-day-ahead-in-latvia.a652522/,Warm but somewhat wet day ahead in Latvia,"June 24, 10:16"
/article/weather/weather/23.06.2026-midsummer-night-will-be-rain-free-in-latvia.a652480/,Midsummer Night will be rain-free in Latvia,"June 23, 9:42"
/article/weather/weather/22.06.2026-midsummer-week-begins-warm-and-sunny-in-latvia.a652414/,Midsummer week begins warm and sunny in Latvia,"June 22, 9:10"
/article/weather/weather/21.06.2026-longest-day-of-year-in-latvia-will-be-hot.a652361/,Longest day of year in Latvia will be hot,"June 21, 7:31"
/article/weather/weather/19.06.2026-midsummer-holiday-will-be-hot-in-latvia.a652196/,Midsummer holiday will be hot in Latvia,"June 19, 11:19"
